time,balance
1,10000
2,10100
3,10200
4,10100
5,10300
6,10200
7,10400
8,10300
9,10500
10,10400
11,10200
12,10600
13,10700
14,10600
15,10800
16,10900
17,11000
18,10900
19,11100
20,11200
21,11300
22,11200
23,11000
24,11400
25,11300
26,11100
27,10700
28,9900
29,11500
30,11400
31,11200
32,11600
33,11700
34,11800
35,11700
36,11900
37,12000
38,12100
39,12200
40,12100
41,11900
42,12300
43,12400
44,12500
45,12400
46,12600
47,12500
48,12700
49,12600
50,12800
51,12700
52,12900
53,12800
54,12600
55,13000
56,13100
57,13200
58,13100
59,12900
60,12500
61,13300
62,13400
63,13300
64,13100
65,12700
66,13500
67,13400
68,13600
69,13500
70,13300
71,12900
72,13700
73,13800
74,13700
75,13500
76,13900
77,13800
78,14000
79,14100
80,14000
81,14200
82,14100
83,13900
84,14300
85,14200
86,14400
87,14300
88,14100
89,13700
90,12900
91,14500
92,14400
93,14200
94,13800
95,13000
96,11400
97,8200
98,1800
99,3600
100,3700
101,3800
102,3900
103,3800
104,3600
105,4000
106,3900
107,4100
108,4000
109,3800
110,4200
111,4100
112,4300
113,4400
114,4300
115,4500
116,4600
117,4500
118,4700
119,4800
120,4900
121,4800
122,4600
123,4200
124,3400
125,1800
126,3600
127,3500
128,3300
129,2900
130,3700
131,3600
132,3800
133,3900
134,3800
135,4000
136,3900
137,3700
138,4100
139,4000
140,3800
141,4200
142,4100
143,3900
144,3500
145,2700
146,4300
147,4200
148,4000
149,4400
150,4300
151,4500
152,4600
153,4500
154,4300
155,4700
156,4600
157,4800
158,4700
159,4500
160,4100
161,3300
162,1700
163,0
