Round,Time
4,77
5,39
6,46
7,45
8,35
9,35
10,39
11,26
12,33
13,21
14,22
15,23
16,17
17,24
18,19
19,13
20,9
21,9
22,11
23,16
24,17
25,5
26,8
27,15
28,8
29,13
30,10
31,7
32,9
33,3
34,8
35,7
36,7
37,9
38,10
39,8
40,9
41,6
42,3
43,8
44,10
557,1
46,6
47,6
48,5
49,8
50,3
51,4
52,2
53,3
54,2
55,6
56,1
57,3
58,2
59,1
60,3
61,5
62,6
63,3
64,4
65,2
66,3
67,2
68,3
69,2
70,5
71,4
74,6
587,1
76,5
77,3
78,4
79,3
80,2
81,1
82,2
83,2
84,1
85,2
86,4
87,2
88,1
89,4
90,2
91,1
604,1
93,1
94,3
96,3
97,2
98,1
99,1
100,2
101,1
102,3
103,1
617,1
107,1
108,2
109,1
110,1
111,1
113,1
114,1
115,2
118,1
119,1
120,3
121,1
122,2
128,1
133,1
134,2
135,1
136,2
137,1
140,1
143,1
145,1
147,1
149,1
152,1
153,2
159,1
160,1
161,1
162,1
1189,1
166,2
172,1
176,1
177,2
178,1
179,1
194,3
201,1
203,1
207,1
92,1
211,1
214,1
548,1
219,1
732,1
227,1
229,2
236,2
242,1
1152,1
258,1
45,3
274,1
276,1
277,1
322,1
327,1
336,1
347,1
165,2
362,1
369,1
371,1
375,1
1429,1
395,1
1934,1
400,1
405,1
423,1
438,1
526,1
447,2
450,1
75,2
442,1
593,1
497,1
499,1
